"timestamp,""x"",""y"",""z"",""q"",""r"""
"728050092,""0.04810321"",""0.54495424"",""-0.6517357"",""0.525311"",""1.0471976"""
"737937785,""0.050083913"",""0.5636588"",""-0.6251907"",""0.5375101"",""1.0471976"""
"747825478,""0.052225094"",""0.58101934"",""-0.5979612"",""0.549665"",""1.0471976"""
"757713170,""0.05378712"",""0.59753287"",""-0.5696035"",""0.5617948"",""1.0471976"""
"767600863,""0.053844474"",""0.61365473"",""-0.5394385"",""0.5740512"",""1.0471976"""
"777488556,""0.05223013"",""0.62968063"",""-0.5076253"",""0.5857396"",""1.0471976"""
"787376249,""0.04838376"",""0.6454498"",""-0.4739879"",""0.59698325"",""1.0471976"""
"797263942,""0.0425485"",""0.66058856"",""-0.4386685"",""0.60776836"",""1.0471976"""
"807151635,""0.034750544"",""0.67448515"",""-0.40181577"",""0.6183901"",""1.0471976"""
"817039328,""0.026560865"",""0.686424"",""-0.36505774"",""0.62837046"",""1.0471976"""
"826927021,""0.018547125"",""0.69603974"",""-0.32891846"",""0.6379634"",""1.0471976"""
"836814713,""0.011743541"",""0.7032556"",""-0.2943063"",""0.647053"",""1.0471976"""
"846702406,""0.0063218754"",""0.70827156"",""-0.26155096"",""0.6556696"",""1.0471976"""
"856590099,""0.004250372"",""0.7114384"",""-0.2326653"",""0.66310203"",""1.0471976"""
"866477792,""0.0058112335"",""0.713308"",""-0.20795687"",""0.6692623"",""1.0471976"""
"876365485,""0.011570032"",""0.71445143"",""-0.18806823"",""0.67383647"",""1.0471976"""
"886253178,""0.02101817"",""0.7154104"",""-0.17273873"",""0.6766887"",""1.0471976"""
"896140621,""0.03473734"",""0.7164202"",""-0.16261931"",""0.6775622"",""1.0471976"""
"906028063,""0.0510799"",""0.7174655"",""-0.15634684"",""0.6768972"",""1.0471976"""
"915915506,""0.068635575"",""0.7183784"",""-0.15301687"",""0.67513514"",""1.0471976"""
"925802949,""0.08599492"",""0.719152"",""-0.15165654"",""0.6726259"",""1.0471976"""
"935690642,""0.10232245"",""0.71988946"",""-0.15164037"",""0.669548"",""1.0471976"""
"945578335,""0.116825044"",""0.7207652"",""-0.15234771"",""0.66606283"",""1.0471976"""
"955466028,""0.12904328"",""0.7219262"",""-0.15339544"",""0.6622992"",""1.0471976"""
"965353721,""0.13802075"",""0.7236251"",""-0.15390216"",""0.6585068"",""1.0471976"""
"975241414,""0.14439271"",""0.72568804"",""-0.15425718"",""0.6547766"",""1.0471976"""
"985129106,""0.14775808"",""0.72802025"",""-0.15383066"",""0.6515292"",""1.0471976"""
"995016799,""0.14822415"",""0.73062915"",""-0.15244952"",""0.64882195"",""1.0471976"""
"1004904492,""0.14557223"",""0.73365515"",""-0.14966685"",""0.646652"",""1.0471976"""
"1014792185,""0.14100689"",""0.73675025"",""-0.14614296"",""0.64494836"",""1.0471976"""
"1024679878,""0.1344842"",""0.73972625"",""-0.14143524"",""0.64398384"",""1.0471976"""
"1034567571,""0.12624049"",""0.74236906"",""-0.13564001"",""0.6438582"",""1.0471976"""
"1044455264,""0.11574588"",""0.7446698"",""-0.12834889"",""0.64466774"",""1.0471976"""
"1054342706,""0.104697324"",""0.74639994"",""-0.121079125"",""0.6459609"",""1.0471976"""
"1064230149,""0.09209663"",""0.74791044"",""-0.11297411"",""0.6475995"",""1.0471976"""
"1074117592,""0.079112954"",""0.7491798"",""-0.10509186"",""0.6491737"",""1.0471976"""
"1084005035,""0.06494429"",""0.75031817"",""-0.09667837"",""0.6507367"",""1.0471976"""
"1093892728,""0.050820835"",""0.75116235"",""-0.088662475"",""0.65215904"",""1.0471976"""
"1103780421,""0.036439348"",""0.75167745"",""-0.08065499"",""0.6535656"",""1.0471976"""
"1113668114,""0.021966822"",""0.75179034"",""-0.07272656"",""0.6550112"",""1.0471976"""
"1123555807,""0.006699616"",""0.75146496"",""-0.06416616"",""0.6566112"",""1.0471976"""
"1133443499,""-0.0074365474"",""0.75072366"",""-0.05662609"",""0.65814304"",""1.0471976"""
"1143331192,""-0.021296993"",""0.7497565"",""-0.049409926"",""0.6595228"",""1.0471976"""
"1153218885,""-0.03484254"",""0.7486938"",""-0.042571135"",""0.66062945"",""1.0471976"""
"1163106578,""-0.049045395"",""0.74754256"",""-0.03515998"",""0.661467"",""1.0471976"""
"1172994271,""-0.0619414"",""0.7464086"",""-0.02880892"",""0.6619726"",""1.0471976"""
"1182881964,""-0.07456508"",""0.7451901"",""-0.02254885"",""0.6622865"",""1.0471976"""
"1192769657,""-0.08705778"",""0.7438548"",""-0.016227314"",""0.6624483"",""1.0471976"""
"1202657349,""-0.100543626"",""0.74226254"",""-0.00883013"",""0.6624646"",""1.0471976"""
"1212545042,""-0.11301321"",""0.74068767"",""-0.002130466"",""0.6622729"",""1.0471976"""
"1222432735,""-0.12549612"",""0.7390183"",""0.004887701"",""0.66187525"",""1.0471976"""
"1232320428,""-0.1379798"",""0.7372723"",""0.012264652"",""0.66124177"",""1.0471976"""
"1242208121,""-0.15174209"",""0.73530805"",""0.021019764"",""0.66019285"",""1.0471976"""
"1252095564,""-0.1643164"",""0.73379"",""0.028783053"",""0.65857726"",""1.0471976"""
"1261983007,""-0.17670362"",""0.73255384"",""0.036349997"",""0.65636843"",""1.0471976"""
"1271870450,""-0.18854286"",""0.73152405"",""0.043506317"",""0.6537824"",""1.0471976"""
"1281757892,""-0.20069723"",""0.73024464"",""0.051196948"",""0.65103173"",""1.0471976"""
"1291645585,""-0.21032739"",""0.729347"",""0.057035126"",""0.6485079"",""1.0471976"""
"1301533278,""-0.21861225"",""0.728477"",""0.061996512"",""0.6462867"",""1.0471976"""
"1311420971,""-0.22555739"",""0.7276432"",""0.06596798"",""0.64444363"",""1.0471976"""
"1321308664,""-0.23241752"",""0.7264985"",""0.06996513"",""0.64287406"",""1.0471976"""
"1331196357,""-0.23727044"",""0.7257232"",""0.07219067"",""0.6417298"",""1.0471976"""
"1341084050,""-0.2415135"",""0.7250203"",""0.07379125"",""0.6407588"",""1.0471976"""
"1350971742,""-0.24542478"",""0.7244443"",""0.0749858"",""0.63978463"",""1.0471976"""
"1360859435,""-0.25026226"",""0.72360086"",""0.07695646"",""0.63863003"",""1.0471976"""
"1370747128,""-0.25393015"",""0.72314125"",""0.0778968"",""0.63758785"",""1.0471976"""
"1380634821,""-0.2574867"",""0.72259665"",""0.07875478"",""0.6366729"",""1.0471976"""
"1390522514,""-0.26077455"",""0.7219111"",""0.07940591"",""0.6360313"",""1.0471976"""
"1400410207,""-0.2648178"",""0.7206931"",""0.08081772"",""0.635564"",""1.0471976"""
"1410297900,""-0.267428"",""0.71982116"",""0.08100557"",""0.6354353"",""1.0471976"""
"1420185592,""-0.2698396"",""0.71895456"",""0.08098968"",""0.6353988"",""1.0471976"""
"1430073285,""-0.27212209"",""0.7180769"",""0.0808452"",""0.6354363"",""1.0471976"""
"1439960978,""-0.27536666"",""0.71673113"",""0.08153672"",""0.6354695"",""1.0471976"""
"1449848421,""-0.27735916"",""0.71574986"",""0.08116737"",""0.63575625"",""1.0471976"""
"1459735864,""-0.27916712"",""0.71478003"",""0.080735475"",""0.63611096"",""1.0471976"""
"1469623307,""-0.2809156"",""0.7138804"",""0.08034332"",""0.63640094"",""1.0471976"""
"1479510750,""-0.28381658"",""0.71263224"",""0.08101301"",""0.6364279"",""1.0471976"""
"1489406193,""-0.28525525"",""0.7120179"",""0.08039412"",""0.63655066"",""1.0471976"""
"1499301635,""-0.28606898"",""0.7115862"",""0.07929818"",""0.63680565"",""1.0471976"""
"1509197078,""-0.2859294"",""0.7113676"",""0.07748695"",""0.63733536"",""1.0471976"""
"1519092521,""-0.28571415"",""0.7109598"",""0.0757608"",""0.638094"",""1.0471976"""
"1528979964,""-0.28337196"",""0.7111432"",""0.072320245"",""0.6393321"",""1.0471976"""
"1538867407,""-0.28015646"",""0.711438"",""0.06829827"",""0.64086163"",""1.0471976"""
"1548754850,""-0.27638283"",""0.71175444"",""0.06401487"",""0.6425888"",""1.0471976"""
"1558642292,""-0.27345595"",""0.7116176"",""0.06062599"",""0.6443188"",""1.0471976"""
"1568522485,""-0.2696578"",""0.7118503"",""0.05647594"",""0.6460375"",""1.0471976"""
